Movie,Lists,Tags,Description,Wikipedia,Average Rating,Comments
それでも夜明けは訪れて (1994),Avant-Garde Underground,,"The pendant has disappeared, the shadow has disappeared. What will disappear next? The protagonist feels less and less alive every day. Even though she is a virgin, the only way she can think of to confirm her own life is to try a pregnancy test. To put an end to her boredom and pessimism, she leaves a message on her dial Q2 and meets a man. What does she get in exchange for making a man with a voice fetish cum? Despite the stylish pictures with a French taste, the story deepens from ennui to horror. The first half of the film, ""the sense of alienation peculiar to a period when one is not young enough to be called a girl, but young enough to be called a woman"", becomes ""a scary story in the style of modern folklore"" at the end.",,,
The Silence of Mark Rothko (2016),Free On YouTube,,"An exploration of painter Mark Rothko, best known for imposing canvasses that eschew representation to express fundamental human emotions through pure color.",,3.1,"★★★★ upon further reflection, i probably shouldn't have started this at 1 am, but at the time i thought i was wide awake, and i was excited because my rothko book is scheduled to arrive today, so i wanted to watch something to hold me over.
hearing rothko's son read his father's words - i now feel like i need to buy a book of his writings - i was moved by all of rothko's thoughts
★★★ Rothko's my favourite and I'm for sure hyperfixating on him atm but honestly by far the best moment here is when the filmmakers interview a homeless(? apologies, it wasn't clear) man on the steps of what used to be Rothko's studio and he talks about how rough his life has been. Would so prefer a movie about that guy.
★★★★½ Somewhere in between the night's canvas and mists of miso soup:
Immersed in luminous, softly-blended horizons of sight and taste and smell I felt her standing beside me laughing; small white hands poised, fingertips covering her mouth to hide the delighted smile of a geisha trained in the sensual pleasure of the abstract expressionist. She will always be a mystery to me - a puzzle of nested, lacquered Rauschenberg boxes, going down like the clean texture of sashimi followed by a Rosenquist twist of eye-watering wasabe. The video loop in my head quick-dissolves between the yoni of Marliyn Monroe and the probing French kisses of J. Edgar Hoover and Roy Cohn
The curtain rises and the actors step out upon…
★★★★ There is more power in telling little than in telling all, SILENCE IS SO ACCURATE.
★★ irony, this is a modern ingredient. kinda sucks as a documentary. hardly featured the paintings and is oversaturated with awful & static b roll. thinking about the paintings in relation to the room struck me— his attention to the personal against the institutional scale, the environment within which his messages were perceived. tough when u get the impression that the director doesn’t care very much / isn’t the most knowledgeable about their project. i appreciated his thinking about the “complexity” of communication, simplicity as a factor of directness in art. prioritizing dialogue over consumption! i’ve visited “The Rothko Room” @ Phillips in DC and appreciated this sort of attention to habitat.
Within five minutes the documentary is holding some guy hostage; making him feign both interest and surprise while sitting in silent judgement on their perfectly reasonable ignorance of the Great Rothko. Feels like everyone on the production side of the making was way too close to the subject.
★★★ Eternal Scavenger Hunt Film 233: A film featuring a place/landmark you want to visit! (The Rothko Chapel)
I think this is an example of my father's great love of irony. I think if we take him too seriously, we are in trouble.
Not a great documentary by any means, but it really reaffirmed my desire to visit the chapel some day and my appreciation of Rothko's work.
★★★½ Mark Rothko is one of my all-time favorite artists but always behind Basquiat somewhere as the later is my favorite.
I appreciated what the doc was going for but I didn't take away any major insights, if anything I felt the words of Rothko, as read by his son, were more of a fuck-you to anyway trying to seek meaning from the artist. Maybe it was the context, or rather lack of it since it was disconnected excerpts, but I truly felt his words were a line of bullshit in a lot of cases. And, if they were, I respect that.
When the doc was using photography and videography to show the daily life of the urban city that you…
""The struggle is beyond painting, not with painting.""
★★ Navel gazey and full of boring b-roll but I like rothko so pretty enjoyable still.
★★½ i used to work at both of the museums in this :)
★★½ Rothko is my favorite painter so I figured I'd give this a shot. Boonstra makes a very ambitious film that appears to be a lot of things at once - some planned, others seemingly weaving their way into the narrative as production went on. Undoubtedly the best part for me was seeing the exhibition come together and hearing from the curator. Less effective was the stoop interview, while the still life montages were uneven. Overall an enjoyable experience as a fan. I'm not sure someone who doesn't know Rothko's work would agree (which is OK)."
The Snake Queen's Wedding (1983),The Chronological History of the Cinematic Macabre; 80's Horror; 💩 The Crappy Guide to “So Bad It’s Good” Flicks 💩,,"A great duel erupts between Tejo Arum, Nyi Blorong's lover, and King Dewacengkar, as rivals seek her affection. When Tejo Arum is defeated, Nyi Blorong aids him by transforming him into a giant powerful enough to crush his enemies. To regain his human form, Tejo Arum is forced to meditate for 350 years.",,2.75,"★★ I think Eichiro Oda got the amazon Lily and Blackbeard reference in this movie.
★★★ Let them fight
★★★ Honestly, I watched this completely at random, hahaha. It popped up on my TikTok feed, and somehow I ended up hunting down the full movie.
First of all, I just want to pay my respects to the Queen Alm. Suzanna — she was absolutely stunning, gorgeous, sexy, the very definition of a femme fatale.
But come to think of it, Indonesian films from that era were actually quite bold. And honestly, I don’t really see this as a “horror” film, despite Suzanna’s long-standing association with mysticism and the supernatural stuff bla bla bla. The structure feels more like a melodrama, wrapped in the kind of aesthetics and sensuality typical of Indonesian cinema from that time.
I’ve watched a few of…
★★★ pertarungan laga memperebutkan hati ratu nyi blorong namun kurang seheboh yg aku kira😔 but still slay queen😘💅🏽👸🏻🐍"
Woman and Child (2025),The Most Controversial Films on Letterboxd; Festival de Cannes : Official Selection 2025 / Sélection officielle 2025; Cannes 2025; 📽️Compétition officielle - Festival de Cannes - Official Competition (1946 – 2026),,"Mahnaz, a 40-year-old widowed nurse, struggles with her rebellious son, Aliyar, who has been suspended from school. Family tensions reach a peak during the betrothal ceremony with her new boyfriend Hamid, and a tragic accident occurs. In the aftermath, Mahnaz will be forced to confront betrayal and loss, and to embark on a quest for justice.",,1.83,"½ روستایی هرجایی که هستی یک قدم از دوربین فاصله بگیر. پرقدرت ادامه نده 🙏🏻
½ اگر امروز بابت هر فیلمی که آقای پورشیرازی داخلش یه نقش منفی بازی کرده، ۱۰۰۰ تومن می‌گرفتم، الان ۲۰۰۰ تومن داشتم که خب پول زیادی نیست؛ ولی همزمانیش کمی عجیبه.
شاهکار بود. شاهکار! تجربه بی نظیر دو ساعت و ربع فیلم اجتماعی، با پوکرفیس ترین حالت ممکن، بدون کوچک‌ترین درگیری احساسی نسبت به فیلم و بی صبرانه مشتاق پایان فیلم بودن :)
امثال این فیلم، سینمای ایران رو از باتلاق کمدی های مبتذل نجات میدن و سینمای اجتماعی ایران رو زنده، میکنن. تو این چند سال اخیر، ما فقط فیلم کمدی دیدیم. چیز دیگری هم مگه اکران شد؟ ما که ندیدیم. اگرم چیز غیر کمدی بوده، قطعا همه شون از این فیلم سفارشی های بنجل بودن و قطع به یقین…
½ سینمای "" سعید روستایی "" از نخستین اثرش "" ابد و یک روز ""، تا تازه‌ترین تجربه‌اش "" زن و بچه ""، در بستری تکرارشونده شکل گرفته است. جهان او بازتاب زنده‌ی جامعه‌ی معاصر ایران نیست، قلمرویی خیالی و قراردادی است؛ سرزمینی که می‌توان آن را "" سرزمین روستایی "" نامید. در این سرزمین، زندگی هرگز در خلوص و پیش‌بینی‌ناپذیری‌اش ظاهر نمی‌شود. شخصیت‌ها همچون قطعات از پیش تراشیده، بارها و بارها در کنار هم قرار می‌گیرند تا همان واکنش‌ها، همان بحران‌ها و همان فرجام‌های از پیش نوشته‌شده را اجرا کنند.
در "" ابد و یک روز ""، این قالب در قامت یک خانواده‌ی فرودست آشکار شد: اعتیاد برادر، خواستگاری نافرجام، فروپاشی اخلاقی و اقتصادی، و زنانی که یا باید قربانی شوند یا بار همه‌چیز را بر دوش بکشند. در "" متری…
★ سقوط آزاد سعید روستایی به ورطه‌ی ابتذال. در عجبم که همان کسی که «ابد و یک روز» را کارگردانی کرده، این فیلم را هم ساخته است. فیلمی درهم و برهم، آشفته و سردرگم و شلخته. آنقدر موضوعات مختلف را در لحظات داستان چپانده که در نهایت بیننده نمی‌داند حرف حساب این فیلم چه بوده. اکثر این موضوعات هم به‌شدت ناپخته روایت شده‌اند، در حدی که انگار روستایی یک داستان کلی نوشته و سپس به چت‌جی‌پی‌تی گفته حالا یک جوری نقد به سیستم آموزش و پرورش را هم واردش کن، حالا یک جوری نقد به مردسالاری و نقد به سیستم قضایی و نقد به خانواده را واردش کن. داستان و تم فیلم هر یک ربع یا حتی کمتر عوض می‌شود. من…
★★★★ Men are trash Iran edition
½ کشوری که هیچ چیزش سر جاش نیست، بایدم کارگردان سینماش تو باشی. بوی تعفن زباله‌هایی که می‌سازی مثل بوی کثافتی که داریم توش زندگی می‌کنیم همه جا رو برداشته. نه هیچ‌وقت مردم کشورت رو شناختی، نه هرگز فهمیدی مشکل کجاست. نه می‌دونی مرد چیه، نه زن. پشت ماسک فمنیسم، شرایط سیاسی و اجتماعی ایران و گرفتاری‌های مردم قایم شدی و زور می‌زنی فاحشه‌خونه‌هایی مثل کن و اسکار، یه استخون هم جلوی تو بندازن. سینمانابلدتر از روستایی، تاریخ سینمای این کشور به چشم خودش ندیده. روستایی نه دوربین می‌فهمه، نه نور، نه میزانسن. نه بلده شخصیت بسازه، نه می‌تونه تیپ خلق کنه. روستایی هیچ اثری نمی‌ذاره، مگر روی قشر لمپن و اوباش و سینه‌فیل‌های بی‌سواد و ناشی. سال‌هاست داری با آت…
★★★★ Au début j’ai chialé, après j’ai chialé tout le milieu, et pendant la fin j’ai chialé pas mal aussi
★★★ One star off for no attempted murder of Hadim.
★★★ WOMAN AND CHILD takes some time to get going but once a pivotal dramatic shift occurs, Saeed Roustaee’s latest shifts into emotionally devastating territory with an unbelievably pained & powerful performance from Parinaz Izadyar as a mother of two kids caught between an arranged marriage and the suffocating expectations placed on her by society. The film’s tremendous moving impact wouldn’t resonate nearly as much if it wasn’t for Izadyar. While it builds to a climactic, touching finale, some questions remain unresolved making this an uneven drama.
½ فیلم کسشر کم ندیدم ولی واژه ""کسشر"" برای این فیلم کافی نیست، متاسفانه زبان فارسی واژه مناسب این فیلم که حق مطلب ادا بشه نداره جدی فیلمنامه رو انگار هوش مصنوعی بر اساس کلیشه ها نوشته با پرامپ ""لطفا هرچی میتونی کسشرتر باشه""
★★★★ What a moving movie. The family is a mathematical problem that never has the same result.
Iranian cinema is truly remarkable when it comes to portraying family life while exposing injustices and inequalities.
These are films that enrich us. Saeed Roustaee ’s Woman and Child is no exception. It didn’t affect me as deeply as his two previous films, but it’s still powerful enough to shout loud and clear against patriarchy.
A great intimate tragedy about women and actresses.
Banning iranians filmmakers will never stop them from making art. Congrats Saeed.
🇮🇷🚑💔
½ چی بگم والا پول بلیط رو بدید به جاش برای خودتون پفک نمکی بخرید، بهترم هست."
Were You Gay in High School? (2020),wlw; Sapphic Short Films,,"Two queer women recall their awkward, closeted high school days of kissing boys and straight-girl crushes.",,3.94,"★★★★★ This is so cute and accurate! Made me reminisce my high school days. Asking myself, was I gay in high school? Yes! I had this crush on a straight girl who is so sweet. I liked her so much that I gladly helped her do some school assignments. And we even had lots of nights just texting and calling. We even had a song for each other (lego house by ed sheeran). But all of a sudden, she had a crush on a boy. You could imagine the pain I went through. That's the time my feelings for her started to disappear. Jumping to our first year in college where we take the same degree, we're still close friends. I…
★★★★ alexa, play Boyfriend by Dove Cameron.
★★★½ were you buzzfeed unsolved in high school ???
★★★★ woah the Ryan Bergara cameo also saw a Special Thanks to Eugene Lee Yang Buzzfeed Asians unite!
this was a cute short <3
Hey it’s gay it’s cute it’s a convo I’ll never get tired of having with people
★★★★ RYAN BERGARGA CAUGHT ME OFF GUARD FRR WTFFF😭😭 ALSO THE DOVE CAMERON REFERENCE TO BOYFRIEND LMFAOO
Awkward teen girl memories + animation! Yes!
Definitely for the best *I* wasn't gay in high school.
were you ryan bergara in highschool?
★★★★ i could be a better boyfriend than him
★★½ putting a basketball in ryan bergara’s hands does not make him less of a twink.
*heavy breathing cat meme*
★★★★½ A heartfelt, adorable, and clever look at queer high-school awkwardness, this short is inventive and fresh, with two distinct, nerdy, relatable voices telling their stories. It's partially animated, and the cute/ugly doodles continue through the closing credits, so every second of it is fully watchable."
Made Manifest (1981),Avant-Garde Underground; Every Film Taught by Stan Brakhage in His Classes (1970-2001),,"""Every man's work shall be made manifest, for the day shall declare it, because it shall be revealed by fire and the fire shall try every man's work of what sort it is."" -1 Corinthians 111-13",,3.75,"★★★½ The way how Stan meditates on Light and Water is quite peculiar. This structural view on landscape reduces the monumentality to something local but still deep and comprehensive. Light is not straight and continuous, it is rather discrete and shortly sparkling. Water is also not being straight or continuous (like flowing river), but rather vertical shapes of breaking waves and also sparkling. Such a view develops ragged tempo with a circular swirling nature
★★★★ Immutable to permanent in waves and mountains.
Rinse and repeat"
The Horse (1973),Solidarity Cinema Archive; Black Life on Film; Martin Scorsese's Favorite Films; The Criterion Channel: Every Film Currently Streaming on the Service; Black Film Archive; Drive Cineclube Sganzerla,,"This critically acclaimed 1973 short is about an aristocratic white farming family who has a horse that is being put away, by the father of a young black boy named William. William cares for said horse in its last moments, as the male family members eagerly wait for his dad to arrive.",,3.69,"Since around 2013, when James Franco released his film adaptation of As I Lay Dying , which I've yet to see, I've been wondering if there existed an (established) American filmmaker with the appropriate style, language, and personal commitment to the subject to do justice to Faulkner's work. Faulkner found a language for the fraught ugliness of coming into racial self-understanding -- for whites as well as for blacks. He explored the ugliness inhering in the Southern gothic's beautiful, mythic lyricism. And this short makes it clear that he has a cinematic match, and that artist's name is Charles Burnett. Here's a filmmaker attuned to the material undercurrents of everything his camera captures, whose compositions and sound design seem to peel…
I really wish Charles Burnett had made a Western.
★★½ A simple story about a group of white men waiting for a black man to show up and euthanize a horse. The black man's son has been caring for the horse all day.
This story is meant for you to fill in the blanks. 1,000 different people could watch it and come away with 1,000 different meanings.
I like the cinematography. It reminded me of a Van Gogh painting.
★★★★★ DYING BEAST
Sensing death, The buzzards gather— Noting the last struggle Of flesh under weather, Noting the last glance Of agonized eye At passing wind And boundless sky.
Langston Hughes
Filme disponível em: www.youtube.com/watch?v=IVWUlYgtaZM
★★★★½ 13 minutes long but feels like a real movie.
★★★★ Captures a vastness that seems endless, like over the mountains the same scene is repeating itself.
What a great short film. Predates Killer of Sheep but is not much of a precursor to it. I was getting more Dark Star vibes tbh! There's an eerie edge to it, like its bidding farewell to 50s-60s hardboiled whilst being its own peaceful love letter to stagnant rural life. The horse itself is a non-entity, an off-screen symbolic. The end is abrupt and unsettling. Music by Samuel Barber.
This is very cool.
★★★ There isn't much happening here, but I'll be damned if Charles Burnett can't shoot the hell out of a shot.
★★★ What's lower than no-budge, the budget for this Charles Burnett short film using one location, probably one day of production, perhaps a weekend. The actors doubling as camera and sound crew (or visa-versa). Toss in some rudimentary equipment, probably loaned from the UCLA film department. The pay rates may have been friendship, or previous help offered free of charge. The costumes are simple and few. The horse and perhaps an owner-wrangler unknown. The period-ish cars are a mystery, but don't look like studio rentals--maybe a nearby mechanic for a days pay. Toss in raw stock, maybe short ends from that same school or from other short films Burnett had kept. The Sun was free. The distance and the howling mood…
★★★★ An impressionistic sketch and mood piece, and for just capturing the amiable discomfort of a summer day, I'd be impressed by it as a little exercise. But then it ends, sonically and visually and narratively, with a violent rupture that forces one into a reckoning with the apparent quietude of what we just saw, recasting it as an illusion of innocence hiding doom and brutality and rot. I don't think I saw exactly the same film that K. Austin Collins sees , but his phrase ""experiencing the shock of initiation into black adulthood"" is a perfect description of those last seconds, and the sense of understated anger it creates at the indifferent mean blandness of the white characters who provide the banal prattle that mostly makes up the film's soundscape.
Granting all of that, using music at all was an inexplicably bad choice, even though I get the thematic echoes of using Barber's Knoxville: Summer of 1915 .
★★★½ Obtuse and beautiful. The long lens shooting creates the sense of a flat, long-dead specimen from the past, like a pressed flower. A preserved moment with countless possible contexts.
After the Egyptian and Indian, the Greek and Roman, the Teuton and Mongolian, the Negro is a sort of seventh son, born with a veil, and gifted with second-sight in this American world,—a world which yields him no true self-consciousness, but only lets him see himself through the revelation of the other world. It is a peculiar sensation, this double-consciousness, this sense of always looking at one’s self through the eyes of others, of measuring one’s soul by the tape of a world that looks on in amused contempt and pity. One ever feels his two-ness,— an American, a Negro; two souls, two thoughts, two unreconciled strivings; two warring ideals in one dark body, whose dogged strength alone keeps it…"
Banale Tage (1991),🌈Pride: A Chronological History of Queer Interest & LGBTQ+ Cinema,,"In East Berlin in the late 70s, two boys meet one evening in a disco: Thomas, who is from a working class family and is doing an apprenticeship, and Michael, a 16-year-old school pupil from an educated middle-class family. They both miss the tram home and walk together instead, ending up at Michael’s house where they discuss God and the world into the early hours. Following this encounter the two boys enter into an unusual friendship, united by their mutual desire to get away from the phoniness, the limitations and the restrictions of their parents and of society.",,3.8,"★★★ English Version below ...
Banale Tage (1991) Banal Days
DEFA Studio Babelsberg GmbH, Gruppe ""DaDaeR"", 1990 / DDR
Ende der 70er Jahre rebellieren zwei Jugendliche in der DDR gegen das System.
Ostberlin, Ende der siebziger Jahre. Der sechzehnjährige Schüler Michael und der Werkzeugmacherlehrling Thomas sind Freunde. Als ziemlich unterschiedliche Typen haben sie doch eins gemeinsam: sie wollen dem Mief in Elternhaus, Schule und Betrieb entfliehen. Ihr Aufbegehren ist ein grotesker Trip durch den banalen Alltag...
Begleiten Sie die beiden Teenager dabei, wie sie sich gegen die grassierende Bevormundung auflehnen und versuchen, sich im Alltags- und Kulturleben der DDR zurechtzufinden.
Folgende Texte stammen aus dem DVD Booklet von Philip Zengel:
Regie: Peter Welz | Szenarium: Michael Sollorz nach seiner Erzählung ""Banale…
★★★★ sie: “ich liebe dich” er: “hihi. haha. hohohoho”
hab maximal 20% vom film verstanden weil der so maximal grotesk ist die restlichen 80% macht dann homoerotik (personifiziert durch ronald m schernikau) wieder wett
all in all holy motors ddr edition 👍🏻
★★★★ ""Ich würd dich ja reinbitten, aber... ich muss in die Schule. Wegen irgendso'nem Buch.""
Ganz groß.
★★★½ Berlinale 2024 #16 (Retrospective)
Has touches throughout where it breaks from the realism it otherwise subscribes to and I loved these bits
There’s a great moment where a guy on a bike tries to grab a flyer from the air… I laughed so hard
Geschaut weil Schernikau ein mini Auftritt hat, die homoerotische Energie des Films entspricht seiner
★★½ rlly liked young florian lukas, but idk i felt the film lacked well written female characters
★★★★ Great fashion
★★★★★ Masterpiece. This has it all.
-Diagetic/Non diagetic music that stops and stirs at all the best times -Train Delays -Cyclical Editing -A dude with wood -traveling band (kinda) -Keffiyeh
Apparently this is its first showing in the US. What a special occasion.
The outfits, and some of the sequences were more than memorable. What a ride
★★★★ Richtiger Kult! Wie die besten Filme dieser Art zeigt er die banalsten (haha) Erlebnisse des Erwachsenwerdens und lässt sie sich wie absolute Neuentdeckungen anfühlen. Es gibt so viele spaßige und schöne Filmideen hierdrin, da bringt es gar nichts, das aufzuzählen. Und natürlich spielt Schernikau mit!!!! Also: Anschauen! Gibts auf Youtube, keine Ausrede!
★★★½ lots of people carrying really looooong things, made me giggle a lot.
jacke wie hose
★★★★½ Hat alles, sogar einen pinken Balkon"
Miss Austen Regrets (2008),Period Dramas; jane austen,,"Jane Austen is about to turn 40, but she still hasn't found her ideal man. When Jane is approached by her niece Fanny and asked to help select the perfect husband for the young girl, the aging spinster begins to wonder why it is that she never found a man to share her own life with.",,4.05,"★★★½ Becoming Jane (2007): who are you? Miss Austen Regrets (2008): i'm you but ten times stronger and 100 times more nuanced and respectful
★★★★ Oh this was a pleasant surprise! The most accurate portrayal of Jane Austen to date. I live for the longing, pining and yearning. Only complaint: not enough Tom Hiddleston
★★★★½ I loved this! All of the acting and filming was great. I just loved idea of relatable Jane Austen getting hangover after drinking too much with her niece and being the biggest flirt ever. This just made me so happy.
★★★★ Man, this is heartwrenching. I will forever feel a sense of bittersweet melancholy every time I think about Jane Austen now. I wish she'd had a lot more time. Seems that's all she really wanted. More time to write and be with her family. Such a good movie. It feels like an open wound, like I'm seeing behind the curtain, and it hurts to look. The fantasy is gone and all that's left is harsh reality. Ultimately, no regrets though. She lived as she wanted to. She would've thrived in modern times as a rich, accomplished author. I like the idea that she was the wittiest, funniest person everywhere she went. Makes sense.
★★★★ didn’t know this film existed till i came across thee image of tom hiddleston, with his rapturous golden curls and in-tact hairline, on pinterest. and here we are. twink death is real but that’s not the point of this movie — in fact he’s barely a feature in it! the point is that love is weird and men are weird and moms suck sometimes and money does maybe buy happiness? and i love that. i love that more than i thought i would
i always found myself so saddened reading about the later years of austen’s life — like fanny, it just felt too wrong to think of the author of so many romantic fantasies destitute and sick and without…
★★★★ “The truth is, I am she that loved and lost.” “Who was he? Tell me.” “I loved and lost, pined and yearned, and then swore myself to solitude and the consolations of writing about it instead.” “Did you really?” “You read far too many novels.”
Becoming Jane found dead in a fucking ditch.
★★★★½ Why have so few people seen this movie? I mean, it’s Olivia Williams as Jane Austen! What more could one want? Seriously, though, I love Olivia Williams in this. I could watch her be regretful Jane Austen all day. Additionally, there’s a young Tom Hiddleston, and an adorable Imogen Poots. And the script is solid, the pacing is swift, and the tone has a beautiful wistfulness to it.
★★★★½ Pure joy. Inject this version of Jane into my veins so I can have her with me ALWAYS.
when ur books are ur babies >>>>
★★★★½ ""and love still dies and money still vanishes. and, spinster, lover, wife, every woman has regrets. so we read about your heroines and we feel young again. and in love. and full of hope. as if we can make that choice again.""
i wasn't sure how'd i'd feel about it but i am pleasantly surprised by just how much i liked it. the final scene between jane and her sister cassandra really had me tearing up. the cast was incredible. i would re-watch this any time.
★★½ RIP Jane Austen you would have loved the article in British Vogue about how having a boyfriend is embarrassing and centering men dulls your sparkle
★★★★½ Jane Austen really tells Fanny: “don’t expect Mr. Plumptree to be a perfect Mr. Darcy guy” and it cuts to reveal that Mr. Plumptree is young, curly haired Tom Hiddleston."
Singles (1993),anime; Japanese Animation,,"Graduating senior Sakisaka Saki is secretly in love with her older sister Noriko's boyfriend, Kazame Kaname, unaware that Noriko and Kaname have broken up. Saki hopes to escape her dilemma when she goes to college, but she ends up attending the same college as Kaname. During orientation, she is recruited to Kaname's video club. He wants to film her, but so does another boy, Tachibana Daichi, who is secretly in love with her. Can the knots be untangled and true love find its true course?",,2.7,"★★½ If this were made today it would be about Tiktok dances & Twitch Streamers. Thankfully this was 1993, so what you get is a well made, water colored anime about a girl being filmed by a bunch of cute guys with gigantic over the shoulder cameras. It has a very human touch to it, nothing crazy or over the top. Cute, soft, fluffy, dreamy romance where nothing really happens is nice once & awhile isn't it?
★★★ BANGER SOUNDTRACK BANGER AESTHETICS ABSOLUTE L ENDING
★★★ I would've preferred something a little longer, and even though it didn't go in the direction I wanted, I was satisfied with how it ended up.
cute !
The composer for this is Shigeru Nagata, who is most well known from his work on Studio Ghibli's ""Ocean Waves"", coming from around the same window he would have made the score for that movie. Given that Ocean Waves' music is what builds so much of it's tone and its ever-reflective, conversational, down to earth but pure romantic feel, its hard to not view Singles as complimentary to it- a long lost cousin.
The setting of a college film club as backdrop to the complex feelings of a crush that can't be is very cute, I just wish there was more with it. In fact, While Singles uses its 30 minute runtime effectively enough to let us get lost in…
★★ I always love Yoshizumi Wataru's character designs (at least, I'm assuming this is based on a Yoshizumi Wataru comic!), but her romantic leads can be frustrating as heck, and it was SO hard to deal with Kaname.
Still, love the outfits, the character designs, and the soft 90s looks throughout!
★★★ God bless the aesthetic of early 90s OVAs which are lucky to survive as digital transfers of the VHS tape.
This anime one-shot is a touch slow, but it's a complete story that's affecting if you're into 90s-era shoujo at all. Most of the episode is structured around one-on-one conversations about the characters' feelings and there's not too much of a conflict because the problem at hand is the main character's *perception* of a conflict. She doesn't want to be selfish, but there's nothing actually standing in her way because the problematic relationship is already over. Understanding that things do not necessarily last forever is an important part of growing up, and I liked the ways the characters came to realizations of that effect.
It's not deep or lavishly animated. It's not complex or notable. Nonetheless, it is enjoyable."
Packed In A Trunk: The Lost Art of Edith Lake Wilkinson (2015),"Stuff by women, about women; wlw; Art & Design",,"The story of artist Edith Lake Wilkinson, a painter who was committed to an asylum in 1924 and never heard from again. All her worldly possessions were packed into trunks and shipped to a relative in West Virginia where they sat in an attic for 40 years. Edith's great-niece, Emmy Award winning writer and director Jane Anderson, grew up surrounded by Edith's paintings, thanks to her mother who had gone poking through that dusty attic and rescued Edith's work. The film follows Jane in her decades-long journey to find the answers to the mystery of Edith's buried life, return the work to Provincetown and have Edith's contributions recognized by the larger art world.",,3.5,"★★★ I really enjoyed this! There isn’t a ton of information on Edith, and it’s all intentionally filtered through Jane’s interpretation of her great-aunt’s life. It captures the feeling of researching your family history and finding a little bit of yourself in your ancestors. There’s an extra layer that’s specific to researching queer history, and learning about those who came before you. In the technical sense, I think the filmmaking itself is not the best, particularly the camerawork, but I know it was a small team.
I was going to give this 4 stars until they brought out a psychic to “contact” Edith. Again I have no problem with speculation or imagination (within reason) but all psychics do is tell you…
★★★★ every single thing about this movie is lesbian culture
★★★★ 7.8 [streaming, Netflix]
Here's a fascinating ""discovery"" doc, one that could form a solid trilogy alongside FINDING VIVIAN MAIER and SEARCHING FOR SUGAR MAN. The subject: a long-forgotten early 20th century lesbian painter who pioneered a print-making technique that was previously attributed to one of her male colleagues, and who was silenced by being signed away to a mental asylum for the last 35 years of her life. Her great-niece Jane Anderson - the force behind the discovery and essentially the co-subject of this film - also a lesbian artist, pursues Wilkinson's story with a vigor and emotion that are clearly fueled by their parallel lives. Touching and enlightening.
★★★ A wonderful documentary! I am always excited to hear about queer history. It's really nice to hear about people who were gay a hundred years ago, it's nice to remind people we've always existed. It was very interesting to see the parallels between the great niece and Edith. The film is intriguing and light hearted. It feels very personal, and fun to watch because the great niece and her wife are sweet and friendly! It was the perfect mix of seeing old pictures and new filmed footage in all the places Edith was. I'm so glad I got to find a new female (and gay!) artist, we need more documentaries like this, to highlight interesting people who aren't getting the attention they deserve. This is an interesting story, and if you like documentaries, art, or anything about queer ladies, watch! (Edith being gay is not the forefront of the story, but is a delightful and definitely unavoidable part!)
★½ It's a bummer that in a documentary about her life, Edith is forgotten in favor of the projected image her grand niece (who had never met her) had of her.
★★★½ I’m such a sucker for projects around unpacking a forgotten artist so like I definitely did cry. Not sure how I feel about the inclusion of the psychic medium at the end, even as someone who’s kind of a woo woo type myself.
★★★★ waah wtf lesbians unearthing forgotten lesbiartist genealogy hits so hard sometimes
★★ Interesting story of a forgotten artist. Unfortunately, the camera refuses to stay in focus and the music is unbearable.
★★½ The psychic thing ruined the whole thing. So silly.
★★★★★ A beautiful story and an amazing film about a once forgotten artist who is no longer forgotten and hopefully will never be forgotten again.
★★★★★ Peak lesbian documentary shenanigans, they hired a psychic medium to contact the subject and a melancholy singer-songwriter with a ukulele to write an original album from her perspective
★★★★½ Beautifully poignant documentary.
Lesbian artists - I love them <3"
